State,County,fips,Year,Female life expectancy (years),"Female life expectancy (national, years)","Female life expectancy (state, years)",Male life expectancy (years),"Male life expectancy (national, years)","Male life expectancy (state, years)"
Alabama,Autauga County,1001,1985,77.02,77.79,76.90,68.13,70.85,69.06
Alabama,Baldwin County,1003,1985,78.84,77.79,76.90,71.14,70.85,69.06
Alabama,Barbour County,1005,1985,76.04,77.79,76.90,66.83,70.85,69.06
Alabama,Bibb County,1007,1985,76.62,77.79,76.90,67.34,70.85,69.06
Alabama,Blount County,1009,1985,78.92,77.79,76.90,70.60,70.85,69.06
Alabama,Bullock County,1011,1985,75.12,77.79,76.90,66.61,70.85,69.06
Alabama,Butler County,1013,1985,77.03,77.79,76.90,68.18,70.85,69.06
Alabama,Calhoun County,1015,1985,77.31,77.79,76.90,69.01,70.85,69.06
Alabama,Chambers County,1017,1985,76.69,77.79,76.90,68.39,70.85,69.06
Alabama,Cherokee County,1019,1985,77.80,77.79,76.90,68.47,70.85,69.06
Alabama,Chilton County,1021,1985,76.93,77.79,76.90,68.58,70.85,69.06
Alabama,Choctaw County,1023,1985,76.89,77.79,76.90,67.27,70.85,69.06
Alabama,Clarke County,1025,1985,76.79,77.79,76.90,68.16,70.85,69.06
Alabama,Clay County,1027,1985,77.56,77.79,76.90,68.89,70.85,69.06
Alabama,Cleburne County,1029,1985,77.56,77.79,76.90,68.89,70.85,69.06
Alabama,Coffee County,1031,1985,77.51,77.79,76.90,70.75,70.85,69.06
Alabama,Colbert County,1033,1985,77.41,77.79,76.90,69.54,70.85,69.06
Alabama,Conecuh County,1035,1985,77.03,77.79,76.90,68.18,70.85,69.06
Alabama,Coosa County,1037,1985,76.93,77.79,76.90,68.58,70.85,69.06
Alabama,Covington County,1039,1985,77.64,77.79,76.90,68.76,70.85,69.06
Alabama,Crenshaw County,1041,1985,76.37,77.79,76.90,67.21,70.85,69.06
Alabama,Cullman County,1043,1985,79.02,77.79,76.90,70.09,70.85,69.06
Alabama,Dale County,1045,1985,77.91,77.79,76.90,70.09,70.85,69.06
Alabama,Dallas County,1047,1985,75.84,77.79,76.90,66.52,70.85,69.06
Alabama,DeKalb County,1049,1985,77.87,77.79,76.90,68.07,70.85,69.06
